"","year","State","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"535","1926","Ohio","Frank B. Willis,","200",53.2,"Atlee Pomerene ","100",46.6,0,0,0,1
"536","1928","Ohio","Simeon D. Fess","200",60.7,"
Charles V. Truax ","100",39.1,0,0,0,1
"537","1932","Ohio","Robert J. Bulkley","100",52.5,"
Gilbert Bettman ","200",45.8,0,0,0,1
"538","1934","Ohio","Vic Donahey","100",60,"
Simeon D. Fess ","200",39.4,0,0,0,1
"539","1938","Ohio","Robert A. Taft","200",53.6,"Robert J. Bulkley ","100",46.4,0,0,0,1
"540","1940","Ohio","Harold H. Burton","200",52.4,"
John McSweeney ","100",47.6,0,0,0,1
"541","1944","Ohio","Robert A. Taft","200",50.3,"William G. Pickrel ","100",49.7,0,0,1,1
"542","1946","Ohio","John W. Bricker","200",57,"James W. Huffman ","100",42.4,0,0,0,1
"543","1950","Ohio","Robert A. Taft","200",57.5,"
Joseph T. Ferguson ","100",42.5,0,0,0,1
"544","1952","Ohio","John W. Bricker(Republican)","200",54.6,"
Michael V. DiSalle ","100",45.4,0,0,0,1
"545","1956","Ohio","Frank J. Lausche","100",52.9,"
George H. Bender ","200",47.1,0,0,0,1
"546","1958","Ohio","Stephen M. Young","100",52.5,"
John W. Bricker ","200",47.5,0,0,0,1
"547","1962","Ohio","Frank J. Lausche","100",61.6,"John M. Briley ","200",38.4,0,0,0,1
"548","1964","Ohio","Stephen M. Young","100",50.2,"Robert A. Taft, Jr. ","200",49.8,0,0,1,1
"549","1968","Ohio","William B. Saxbe","200",51.5,"John J. Gilligan ","100",48.5,0,0,0,1
"550","1970","Ohio","Robert Taft Jr.","200",49.7,"Howard Metzenbaum ","100",47.5,0,0,0,1
"551","1974","Ohio","John Glenn","100",64.6,"Ralph J. Perk ","200",30.7,0,0,0,1
"552","1976","Ohio","Howard Metzenbaum","100",49.5,"Robert Taft Jr. ","200",46.5,0,0,0,1
"553","1980","Ohio","John Glenn","100",68.8,"James E. Betts ","200",28.2,0,0,0,1
"554","1982","Ohio","Howard Metzenbaum","100",56.7,"
Paul E. Pfeifer ","200",41.1,0,0,0,1
"555","1986","Ohio","John Glenn","100",62.4,"
Tom Kindness ","200",37.6,0,0,0,1
"556","1988","Ohio","Howard Metzenbaum","100",56.9,"
George Voinovich ","200",43.1,0,0,0,1
"557","1992","Ohio","John Glenn","100",51,"
Mike DeWine ","200",42.3,0,0,0,1
"558","1994","Ohio","Mike DeWine","200",53.4,"
Joel Hyatt ","100",39.2,0,0,0,1
"559","1998","Ohio","George Voinovich","200",56.5,"
Mary Boyle ","100",43.5,0,0,0,1
"560","2000","Ohio","Mike DeWine","200",59.9,"
Ted Celeste ","100",35.9,0,0,0,1
"561","2004","Ohio","George Voinovich","200",63.9,"
Eric Fingerhut ","100",36.1,0,0,0,1
"562","2006","Ohio","Sherrod Brown","100",56.2,"
Mike DeWine ","200",43.8,0,0,0,1
"563","2010","Ohio","Rob Portman","200",57.3,"
Lee Fisher ","100",39,0,0,0,1
"564","2012","Ohio","Sherrod Brown","100",50.7,"
Josh Mandel ","200",44.7,0,0,0,1
"565","2016","Ohio","Rob Portman","200",58,"
Ted Strickland ","100",37.1,0,0,0,1
"566","2018","Ohio","Sherrod Brown","100",53.4,"
Jim Renacci ","200",46.6,0,0,0,1
"567","1946","North Dakota","Milton R. Young","200",55.5,"William Lanier ","100",27.4,0,0,0,1
"568","1992","North Dakota","Kent Conrad","100",63.3,"
Jack Dalrymple ","200",33.7,0,0,0,1
"569","1960","North Dakota","Quentin N. Burdick","100",49.7,"
John E. Davis ","200",49.2,0,0,1,1
"570","1922","North Dakota","Lynn J. Frazier","200",52.28,"
J. F. T. O'Connor ","100",47.72,0,0,0,1
"571","1926","North Dakota","Gerald P. Nye,","200",69.6,"Norris H. Nelson ","Independent",12.2,0,0,0,1
"572","1928","North Dakota","Lynn J. Frazier","200",79.6,"
F. F. Burchard ","100",19.4,0,0,0,1
"573","1932","North Dakota","Gerald P. Nye","200",72.3,"
P. W. Lanier ","100",27.5,0,0,0,1
"574","1934","North Dakota","Lynn J. Frazier","200",58.2,"
Henry Holt ","100",40.2,0,0,0,1
"575","1938","North Dakota","Gerald P. Nye","200",50.1,"William Langer ","Independent",42.6,0,0,0,1
"576","1940","North Dakota","William Langer","200-NPL",38.1,"
William Lemke ","Independent",35.1,0,0,0,1
"577","1944","North Dakota","John Moses","100",45.2,"Gerald P. Nye ","200",33,0,0,0,1
"578","1946","North Dakota","William Langer","200",53.3,"Arthur E. Thompson ","Independent",23.5,0,0,0,1
"579","1950","North Dakota","Milton R. Young","200",67.6,"
Harry O'Brien ","100",32.4,0,0,0,1
"580","1952","North Dakota","William Langer","200",66.4,"
Harold A. Morrison ","100",23.3,0,0,0,1
"581","1956","North Dakota","Milton R. Young","200",63.6,"
Quentin N. Burdick ","100",36,0,0,0,1
"582","1958","North Dakota","William Langer","200",57.2,"
Raymond Vensdel ","100",41.5,0,0,0,1
"583","1962","North Dakota","Milton R. Young","200",60.7,"William Lanier ","100",39.4,0,0,0,1
"584","1964","North Dakota","Quentin N. Burdick","100",57.6,"Thomas S. Kleppe ","200",42.4,0,0,0,1
"585","1968","North Dakota","Milton Young","200",64.6,"Herschel Lashkowitz ","100",33.7,0,0,0,1
"586","1970","North Dakota","Quentin N. Burdick","100",61.3,"Thomas S. Kleppe ","200",37.8,0,0,0,1
"587","1974","North Dakota","Milton Young","200",48.4,"William L. Guy ","100",48.3,0,0,1,1
"588","1976","North Dakota","Quentin N. Burdick","100",62.1,"Robert Stroup ","200",36.6,0,0,0,1
"589","1980","North Dakota","Mark Andrews","200",70.3,"Kent Johanneson ","100",29,0,0,0,1
"590","1982","North Dakota","Quentin N. Burdick","100",62.8,"
Gene Knorr ","200",34,0,0,0,1
"591","1986","North Dakota","Kent Conrad","100",49.8,"
Mark Andrews ","200",49,0,0,1,1
"592","1988","North Dakota","Quentin N. Burdick","100",59.5,"
Earl Strinden ","200",39.1,0,0,0,1
"593","1992","North Dakota","Byron Dorgan","100",59,"
Steve Sydness ","200",38.9,0,0,0,1
"594","1998","North Dakota","Byron Dorgan","100",63.1,"
Donna Nalewaja ","200",35.2,0,0,0,1
"595","2000","North Dakota","Kent Conrad","100",61.4,"
Duane Sand ","200",38.6,0,0,0,1
"596","2006","North Dakota","Kent Conrad","100",68.8,"
Dwight Grotberg ","200",29.5,0,0,0,1
"597","2010","North Dakota","John Hoeven","200",76.2,"
Tracy Potter ","100",22.2,0,0,0,1
"598","2012","North Dakota","Heidi Heitkamp","100",50.24,"
Rick Berg ","200",49.32,0,0,1,1
"599","2016","North Dakota","John Hoeven","200",78.4,"
Eliot Glassheim ","100",17,0,0,0,1
"600","2018","North Dakota","Kevin Cramer","200",55.5,"
Heidi Heitkamp ","100",44.5,0,0,0,1
"601","1932","North Carolina","Robert R. Reynolds","100",68.7,"
Jake F. Newell ","200",31.3,0,0,0,1
"602","1948","North Carolina","Melville Broughton","100",70.7,"John A. Wilkinson ","200",28.8,0,0,0,1
"603","1950","North Carolina","Willis Smith","100",67,"
E. L. Gavin ","200",32.6,0,0,0,1
"604","1954","North Carolina","William Kerr Scott","100",65.9,"
Paul C. West ","200",34.1,0,0,0,1
"605","1954","North Carolina","Sam Ervin","100",NA,NA,NA,NA,1,0,NA,1
"606","1958","North Carolina","Benjamin Everett Jordan","100",70,"
Richard C. Clarke, Jr. ","200",30,0,0,0,1
"607","1986","North Carolina","Terry Sanford","100",50.9,"
Jim Broyhill ","200",49.1,0,0,1,1
"608","1918","North Carolina","Furnifold Simmons,","100",60.5,"
John M. Morehead, ","200",39.5,0,0,0,1
"609","1920","North Carolina","Lee S. Overman,","100",57.5,"
A. E. Holton, ","200",42.5,0,0,0,1
"610","1924","North Carolina","Furnifold M. Simmons","100",61.6,"
A. A. Whitener ","200",38.5,0,0,0,1
"611","1926","North Carolina","Lee S. Overman,","100",60.5,"Johnson J. Hayes ","200",39.5,0,0,0,1
"612","1932","North Carolina","Robert R. Reynolds","100",68.6,"
Jake F. Newell ","200",31.4,0,0,0,1
"613","1936","North Carolina","Josiah Bailey","100",70.8,"Frank R. Patton ","200",29.2,0,0,0,1
"614","1938","North Carolina","Robert R. Reynolds","100",63.8,"Charles A. Jonas ","200",36.2,0,0,0,1
"615","1942","North Carolina","Josiah W. Bailey","100",65.9,"Sam J. Morris ","200",34.1,0,0,0,1
"616","1944","North Carolina","Clyde R. Hoey","100",70.3,"A. I. Ferree ","200",29.8,0,0,0,1
"617","1948","North Carolina","J. Melville Broughton","100",70.7,"John A. Wilkinson ","200",28.8,0,0,0,1
"618","1950","North Carolina","Clyde R. Hoey","100",68.7,"
Halsey B. Leavitt ","200",31.3,0,0,0,1
"619","1954","North Carolina","William Kerr Scott","100",65.9,"
Paul C. West ","200",34.1,0,0,0,1
"620","1956","North Carolina","Sam J. Ervin Jr.","100",66.6,"
Joel A. Johnson ","200",33.4,0,0,0,1
"621","1960","North Carolina","B. Everett Jordan","100",61.4,"
Kyle Hayes ","200",38.6,0,0,0,1
"622","1962","North Carolina","Sam J. Ervin, Jr.","100",60.5,"Claude L. Greene, Jr. ","200",39.6,0,0,0,1
"623","1966","North Carolina","B. Everett Jordan","100",55.6,"
John S. Shallcross ","200",44.4,0,0,0,1
"624","1968","North Carolina","Sam Ervin","100",60.6,"Robert V. Somers ","200",39.4,0,0,0,1
"625","1972","North Carolina","Jesse Helms","200",54,"Nick Galifianakis ","100",46,0,0,0,1
"626","1974","North Carolina","Robert Burren Morgan","100",62.1,"William E. Stevens ","200",37,0,0,0,1
"627","1978","North Carolina","Jesse Helms","200",54.5,"John Ingram ","100",45.5,0,0,0,1
"628","1980","North Carolina","John Porter East","200",50,"Robert Burren Morgan ","100",49.4,0,0,1,1
"629","1984","North Carolina","Jesse Helms","200",51.7,"
Jim Hunt ","100",47.8,0,0,0,1
"630","1986","North Carolina","Terry Sanford","100",51.8,"
Jim Broyhill ","200",48.2,0,0,0,1
"631","1990","North Carolina","Jesse Helms","200",52.6,"
Harvey Gantt ","100",47.4,0,0,0,1
"632","1992","North Carolina","Lauch Faircloth","200",50.4,"
Terry Sanford ","100",46.3,0,0,0,1
"633","1996","North Carolina","Jesse Helms","200",52.6,"
Harvey Gantt ","100",45.9,0,0,0,1
"634","1998","North Carolina","John Edwards","100",51.2,"
Lauch Faircloth ","200",47,0,0,0,1
"635","2002","North Carolina","Elizabeth Dole","200",53.6,"
Erskine Bowles ","100",1.5,0,0,0,1
"636","2008","North Carolina","Kay Hagan","100",52.7,"
Elizabeth Dole ","200",44.2,0,0,0,1
"637","2010","North Carolina","Richard Burr","200",55,"
Elaine Marshall ","100",42.9,0,0,0,1
"638","2014","North Carolina","Thom Tillis","200",48.8,"
Kay Hagan ","100",47.3,0,0,1,1
"639","2016","North Carolina","Richard Burr","200",51.1,"
Deborah Ross ","100",45.3,0,0,0,1
"640","1938","New York","James M. Mead","100",53.6,"Edward F. Corsi ","200",45.8,0,0,0,1
"641","2010","New York","Kirsten Gillibrand","100",62,"
Joseph DioGuardi ","200",35.8,0,0,0,1
"642","1920","New York","James W. Wadsworth, Jr.","200",52.4,"
Harry C. Walker ","100",32.9,0,0,0,1
"643","1922","New York","Royal S. Copeland","100",52.6,"
William M. Calder ","200",41,0,0,0,1
"644","1926","New York","Robert F. Wagner","100",46.5,"James Wadsworth ","200",42.4,0,0,0,1
"645","1928","New York","Royal S. Copeland","100",49.1,"
Alanson B. Houghton ","200",47.9,0,0,1,1
"646","1932","New York","Robert F. Wagner","100",55.8,"
George Z. Medalie ","200",38.6,0,0,0,1
"647","1934","New York","Royal S. Copeland","100",55.3,"
E. Harold Cluett ","200",36.9,0,0,0,1
"648","1938","New York","Robert F. Wagner","100",54.5,"John Lord O'Brian ","200",45,0,0,0,1
"649","1940","New York","James M. Mead","100",53.3,"
Bruce Barton ","200",46.7,0,0,0,1
"650","1944","New York","Robert F. Wagner","100",53.1,"Thomas J. Curran ","200",46.7,0,0,0,1
"651","1946","New York","Irving M. Ives","200",52.6,"Herbert H. Lehman ","100",47.6,0,0,0,1
"652","1950","New York","Herbert H. Lehman","100",50.3,"
Joe R. Hanley ","200",45.3,0,0,0,1
"653","1952","New York","Irving M. Ives","200",55.2,"
John Cashmore ","100",36.1,0,0,0,1
"654","1956","New York","Jacob K. Javits","200",53.3,"
Robert F. Wagner Jr. ","100",46.7,0,0,0,1
"655","1958","New York","Kenneth B. Keating","200",50.8,"
Frank S. Hogan ","100",48.4,0,0,0,1
"656","1962","New York","Jacob K. Javits","200",57.4,"James B. Donovan ","100",40.1,0,0,0,1
"657","1964","New York","Robert F. Kennedy","100",53.5,"Kenneth B. Keating ","200",43.4,0,0,0,1
"658","1968","New York","Jacob K. Javits","200",49.7,"Paul O'Dwyer ","100",32.7,0,0,0,1
"659","1970","New York","James L. Buckley","Conservative",38.8,"Richard Ottinger ","100",36.8,0,0,1,1
"660","1974","New York","Jacob K. Javits","200",45.3,"Ramsey Clark ","100",38.2,0,0,0,1
"661","1976","New York","Daniel P. Moynihan","100",54.2,"James L. Buckley ","200",44.9,0,0,0,1
"662","1980","New York","Al D'Amato","200",44.9,"Elizabeth Holtzman ","100",43.5,0,0,1,1
"663","1982","New York","Daniel P. Moynihan","100",65.1,"
Florence M. Sullivan ","200",34.2,0,0,0,1
"664","1986","New York","Al D'Amato","200",57.7,"
Mark J. Green ","100",40.9,0,0,0,1
"665","1988","New York","Daniel Patrick Moynihan","100",67.3,"
Robert R. McMillan ","200",31.6,0,0,0,1
"666","1992","New York","Al D'Amato","200",49,"
Robert Abrams ","100",47.8,0,0,1,1
"667","1998","New York","Chuck Schumer","100",54.6,"
Al D'Amato ","200",44.1,0,0,0,1
"668","2004","New York","Chuck Schumer","100",71.16,"
Howard Mills III ","200",24.24,0,0,0,1
"669","2006","New York","Hillary Clinton","100",67,"
John Spencer ","200",31,0,0,0,1
"670","2010","New York","Chuck Schumer","100",66.3,"
Jay Townsend ","200",32.2,0,0,0,1
"671","2012","New York","Kirsten Gillibrand","100",71.6,"
Wendy E. Long ","200",27,0,0,0,1
"672","2016","New York","Chuck Schumer","100",70.4,"
Wendy Long ","200",27.4,0,0,0,1
"673","2018","New York","Kirsten Gillibrand","100",67,"
Chele Chiavacci Farley ","200",33,0,0,0,1
"674","1934","New Mexico","Carl A. Hatch","100",54.5,"
Richard C. Dillon ","200",45,0,0,0,1
"675","1936","New Mexico","Dennis Chavez","100",55.7,"M. A. Otero, Jr. ","200",44.2,0,0,0,1
"676","1964","New Mexico","Joseph Montoya","100",54.7," Edwin L. Mechem ","200",45.3,0,0,0,1
"677","1918","New Mexico","Albert B. Fall,","200",51.4,"
William B. Walton, ","100",47.48,0,0,0,1
"678","1922","New Mexico","Andrieus A. Jones","100",55.2,"
S. B. Davis, Jr. ","200",44.1,0,0,0,1
"679","1924","New Mexico","Sam G. Bratton","100",49.9,"
Holm O. Bursum ","200",47.4,0,0,0,1
"680","1928","New Mexico","Bronson M. Cutting","200",57.7,"
Jethro S. Vaught ","100",42.3,0,0,0,1
"681","1934","New Mexico","Bronson M. Cutting","200",50.2,"
Dennis Chavez ","100",49.4,0,0,1,1
"682","1936","New Mexico","Carl A. Hatch","100",61.7,"Ernest W. Everly ","200",38.3,0,0,0,1
"683","1940","New Mexico","Dennis Chavez","100",56,"
Albert K. Mitchell ","200",44.1,0,0,0,1
"684","1942","New Mexico","Carl A. Hatch","100",59.2,"J. Benson Newell ","200",40.8,0,0,0,1
"685","1946","New Mexico","Dennis Chavez","100",51.5,"Patrick J. Hurley ","200",48.5,0,0,0,1
"686","1948","New Mexico","Clinton P. Anderson","100",57.2,"Patrick J. Hurley ","200",42.4,0,0,0,1
"687","1952","New Mexico","Dennis Chavez","100",51.1,"
Patrick J. Hurley ","200",48.9,0,0,0,1
"688","1954","New Mexico","Clinton P. Anderson","100",57.3,"
Edwin L. Mechem ","200",42.7,0,0,0,1
"689","1958","New Mexico","Dennis Chavez","100",62.7,"
Forrest S. Atchley ","200",37.3,0,0,0,1
"690","1960","New Mexico","Clinton P. Anderson","100",63.4,"
William Colwes ","200",36.6,0,0,0,1
"691","1964","New Mexico","Joseph M. Montoya","100",54.7,"Edwin L. Mechem ","200",45.3,0,0,0,1
"692","1966","New Mexico","Clinton Presba Anderson","100",53.1,"
Anderson Carter ","200",46.9,0,0,0,1
"693","1970","New Mexico","Joseph Montoya","100",52.3,"Anderson Carter ","200",46.6,0,0,0,1
"694","1972","New Mexico","Pete Domenici","200",54,"Jack Daniels ","100",46,0,0,0,1
"695","1976","New Mexico","Harrison Schmitt","200",56.8,"Joseph Montoya ","100",42.7,0,0,0,1
"696","1978","New Mexico","Pete Domenici","200",53.4,"Toney Anaya ","100",46.6,0,0,0,1
"697","1982","New Mexico","Jeff Bingaman","100",53.8,"
Harrison Schmitt ","200",46.2,0,0,0,1
"698","1984","New Mexico","Pete Domenici","200",71.9,"
Judith A. Pratt ","100",28.1,0,0,0,1
"699","1988","New Mexico","Jeff Bingaman","100",63.2,"
Bill Valentine ","200",36.8,0,0,0,1
"700","1990","New Mexico","Pete Domenici","200",72.9,"
Tom R. Benavides ","100",27.1,0,0,0,1
"701","1996","New Mexico","Pete Domenici","200",64.7,"
Art Trujillo ","100",29.8,0,0,0,1
"702","2000","New Mexico","Jeff Bingaman","100",61.7,"
William T. Redmond ","200",38.3,0,0,0,1
"703","2006","New Mexico","Jeff Bingaman","100",70.6,"
Allen McCulloch ","200",29.3,0,0,0,1
"704","2008","New Mexico","Tom Udall","100",61.3,"
Steve Pearce ","200",38.7,0,0,0,1
"705","2012","New Mexico","Martin Heinrich","100",51,"
Heather Wilson ","200",45.3,0,0,0,1
"706","2014","New Mexico","Tom Udall","100",55.6,"
Allen Weh ","200",44.4,0,0,0,1
"707","2018","New Mexico","Martin Heinrich","100",54.1,"
Mick Rich ","200",30.5,0,0,0,1
"708","1944","New Jersey","H. Alexander Smith","200",50.4,"Elmer H. Wene ","100",48.8,0,0,1,1
"709","2013","New Jersey","Cory Booker","100",54.9,"Steve Lonegan ","200",44,0,0,0,1
"710","1918","New Jersey","David Baird,","200",49.17,"
Charles O. Hennessy, ","100",44.64,0,0,0,1
"711","1932","New Jersey","W. Warren Barbour","200",49.6,"
Percy H. Stewart ","100",48.5,0,0,1,1
"712","1938","New Jersey","W. Warren Barbour","200",53,"William H. J. Ely ","100",45.7,0,0,0,1
"713","1918","New Jersey","Walter Evans Edge,","200",50.34,"
George M. La Monte, ","100",43.23,0,0,0,1
"714","1922","New Jersey","Edward I. Edwards","100",54.9,"
Joseph S. Frelinghuysen ","200",44.1,0,0,0,1
"715","1924","New Jersey","Walter E. Edge","200",61.8,"
Frederick W. Donnelly ","100",33.7,0,0,0,1
"716","1928","New Jersey","Hamilton F. Kean","200",57.9,"
Edward I. Edwards ","100",41.8,0,0,0,1
"717","1934","New Jersey","A. Harry Moore","100",57.9,"
Hamilton F. Kean ","200",40.9,0,0,0,1
"718","1936","New Jersey","William H. Smathers","100",54.9,"W. Warren Barbour ","200",44.3,0,0,0,1
"719","1940","New Jersey","W. Warren Barbour","200",55.1,"
James H. R. Cromwell ","100",44.1,0,0,0,1
"720","1942","New Jersey","Albert W. Hawkes","200",53.1,"William H. Smathers ","100",45.8,0,0,0,1
"721","1946","New Jersey","H. Alexander Smith","200",58.5,"George E. Brunner ","100",40.1,0,0,0,1
"722","1948","New Jersey","Robert C. Hendrickson","200",50,"Archibald S. Alexander ","100",47.3,0,0,0,1
"723","1952","New Jersey","H. Alexander Smith","200",55.5,"
Archibald S. Alexander ","100",43.6,0,0,0,1
"724","1954","New Jersey","Clifford P. Case","200",48.7,"
Charles R. Howell ","100",48.5,0,0,1,1
"725","1958","New Jersey","Harrison A. Williams, Jr.","100",51.4,"
Robert W. Kean ","200",46.9,0,0,0,1
"726","1960","New Jersey","Clifford P. Case","200",55.7,"
Thorn Lord ","100",43.2,0,0,0,1
"727","1964","New Jersey","Harrison A. Williams, Jr.","100",61.9,"Bernard M. Shanley ","200",37.3,0,0,0,1
"728","1966","New Jersey","Clifford P. Case","200",60,"
Warren W. Wilentz ","100",37,0,0,0,1
"729","1970","New Jersey","Harrison A. Williams","100",54,"Nelson G. Gross ","200",42.2,0,0,0,1
"730","1972","New Jersey","Clifford P. Case","200",62.5,"Paul J. Krebs ","100",34.5,0,0,0,1
"731","1976","New Jersey","Harrison A. Williams","100",60.7,"David A. Norcross ","200",38,0,0,0,1
"732","1978","New Jersey","Bill Bradley","100",55.3,"Jeffrey Bell ","200",43.1,0,0,0,1
"733","1982","New Jersey","Frank Lautenberg","100",50.9,"
Millicent Fenwick ","200",47.8,0,0,0,1
"734","1984","New Jersey","Bill Bradley","100",64.2,"
Mary V. Mochary ","200",35.2,0,0,0,1
"735","1988","New Jersey","Frank Lautenberg","100",53.5,"
Pete Dawkins ","200",45.2,0,0,0,1
"736","1990","New Jersey","Bill Bradley","100",50.4,"
Christine Todd Whitman ","200",NA,0,0,NA,1
"737","1994","New Jersey","Frank Lautenberg","100",50.4,"
Chuck Haytaian ","200",0.7,0,0,0,1
"738","1996","New Jersey","Robert Torricelli","100",52.7,"
Dick Zimmer ","200",42.5,0,0,0,1
"739","2000","New Jersey","Jon Corzine","100",50.1,"
Bob Franks ","200",47.1,0,0,0,1
"740","2002","New Jersey","Frank Lautenberg","100",53.9,"
Doug Forrester ","200",1.2,0,0,0,1
"741","2006","New Jersey","Bob Menendez","100",53.4,"
Thomas Kean Jr. ","200",44.3,0,0,0,1
"742","2008","New Jersey","Frank Lautenberg","100",56,"
Dick Zimmer ","200",42,0,0,0,1
"743","2012","New Jersey","Bob Menendez","100",58.9,"
Joe Kyrillos ","200",39.4,0,0,0,1
"744","2014","New Jersey","Cory Booker","100",55.8,"
Jeff Bell ","200",42.3,0,0,0,1
"745","2018","New Jersey","Bob Menendez","100",54,"Bob Hugin ","200",42.8,0,0,0,1
"746","1918","New Hampshire","George H. Moses,","200",50.76,"
John B. Jameson, ","100",49.24,0,0,1,1
"747","1954","New Hampshire","Norris Cotton","200",60.2,"
Stanley J. Betley ","100",39.8,0,0,0,1
"748","1962","New Hampshire","Thomas J. McIntyre","100",52.3,"Perkins Bass ","200",47.7,0,0,0,1
"749","1974","New Hampshire","John A. Durkin","100",53.6,"Louis C. Wyman ","200",43.04,0,0,0,1
"750","1918","New Hampshire","Henry W. Keyes,","200",53.54,"
Eugene Elliott Reed, ","100",46.46,0,0,0,1
"751","1920","New Hampshire","George H. Moses,","200",57.7,"
Raymond B. Stevens, ","100",41.6,0,0,0,1
"752","1924","New Hampshire","Henry W. Keyes","200",59.8,"
George E. Farrand ","100",40.2,0,0,0,1
"753","1926","New Hampshire","George H. Moses,","200",62.3,"Robert C. Murchie ","100",37.7,0,0,0,1
"754","1932","New Hampshire","Fred H. Brown","100",50.4,"
George H. Moses ","200",49.3,0,0,1,1
"755","1936","New Hampshire","Styles Bridges","200",51.9,"William N. Rogers ","100",47.7,0,0,0,1
"756","1938","New Hampshire","Charles W. Tobey","200",54.2,"Fred H. Brown ","100",45.8,0,0,0,1
"757","1942","New Hampshire","Styles Bridges","200",54.6,"Francis P. Murphy ","100",45.4,0,0,0,1
"758","1944","New Hampshire","Charles W. Tobey","200",50.9,"Joseph J. Betley ","100",49.1,0,0,1,1
"759","1948","New Hampshire","Styles Bridges","200",58.1,"Alfred E. Fortin ","100",41.2,0,0,0,1
"760","1950","New Hampshire","Charles W. Tobey","200",55.7,"
Emmet J. Kelley ","100",38,0,0,0,1
"761","1954","New Hampshire","Styles Bridges","200",60.2,"
Gerard L. Morin ","100",39.8,0,0,0,1
"762","1956","New Hampshire","Norris Cotton","200",64.1,"
Laurence M. Pickett ","100",35.9,0,0,0,1
"763","1960","New Hampshire","Styles Bridges","200",60.4,"
Herbert W. Hill ","100",39.7,0,0,0,1
"764","1962","New Hampshire","Norris Cotton","200",59.7,"Alfred Catalfo, Jr. ","100",40.3,0,0,0,1
"765","1966","New Hampshire","Thomas J. McIntyre","100",54,"
Harrison Thyng ","200",45.9,0,0,0,1
"766","1968","New Hampshire","Norris Cotton","200",59.3,"John W. King ","100",40.7,0,0,0,1
"767","1972","New Hampshire","Thomas J. McIntyre","100",56.9,"Wesley Powell ","200",43.1,0,0,0,1
"768","1974","New Hampshire","Louis C. Wyman","200",49.7,"John A. Durkin ","100",49.7,0,0,1,1
"769","1978","New Hampshire","Gordon J. Humphrey","200",50.7,"Thomas J. McIntyre ","100",48.5,0,0,0,1
"770","1980","New Hampshire","Warren Rudman","200",52.1,"John A. Durkin ","100",47.8,0,0,0,1
"771","1984","New Hampshire","Gordon J. Humphrey","200",58.7,"
Norman D'Amours ","100",41,0,0,0,1
"772","1986","New Hampshire","Warren Rudman","200",62.9,"
Endicott Peabody ","100",32.4,0,0,0,1
"773","1990","New Hampshire","Bob Smith","200",65.1,"
John A. Durkin ","100",31.3,0,0,0,1
"774","1996","New Hampshire","Bob Smith","200",49.3,"
Dick Swett ","100",46.2,0,0,0,1
"775","2002","New Hampshire","John E. Sununu","200",50.8,"
Jeanne Shaheen ","100",46.4,0,0,0,1
"776","2008","New Hampshire","Jeanne Shaheen","100",51.7,"
John E. Sununu ","200",45.2,0,0,0,1
"777","2010","New Hampshire","Kelly Ayotte","200",60.2,"
Paul Hodes ","100",36.7,0,0,0,1
"778","2014","New Hampshire","Jeanne Shaheen","100",51.5,"
Scott Brown ","200",48.2,0,0,0,1
"779","2016","New Hampshire","Maggie Hassan","100",47.97,"
Kelly Ayotte ","200",47.87,0,0,1,1
"780","1942","Nevada","James G. Scrugham","100",58.7,"Cecil W. Creel ","200",41.3,0,0,0,1
"781","1918","Nevada","Charles Henderson,","100",47.71,"
Edwin E. Roberts, ","200",31.5,0,0,0,1
"782","1954","Nevada","Alan Bible","100",58.1,"
Ernest S. Brown ","200",41.9,0,0,0,1
"783","1922","Nevada","Key Pittman","100",62.8,"
Charles S. Chandler ","200",37.2,0,0,0,1
"784","1928","Nevada","Key Pittman","100",59.3,"
Samuel Platt ","200",40.7,0,0,0,1
"785","1932","Nevada","Patrick A. McCarran","100",52.1,"
Tasker L. Oddie ","200",NA,0,0,NA,1
"786","1934","Nevada","Key Pittman","100",64.5,"
George W. Malone ","200",33.4,0,0,0,1
"787","1938","Nevada","Patrick A. McCarran","100",59,"Tasker L. Oddie ","200",NA,0,0,NA,1
"788","1940","Nevada","Key Pittman","100",60.5,"
Samuel Platt ","200",39.5,0,0,0,1
"789","1944","Nevada","Patrick A. McCarran","100",58.4,"George W. Malone ","200",41.6,0,0,0,1
"790","1946","Nevada","George W. Malone","200",55.2,"Berkeley L. Bunker ","100",44.8,0,0,0,1
"791","1950","Nevada","Patrick A. McCarran","100",58,"
George E. Marshall ","200",42,0,0,0,1
"792","1952","Nevada","George W. Malone","200",51.7,"
Thomas B. Mechling ","100",48.3,0,0,0,1
"793","1956","Nevada","Alan Bible","100",52.6,"
Cliff Young ","200",47.4,0,0,0,1
"794","1958","Nevada","Howard W. Cannon","100",57.7,"
George W. Malone ","200",42.3,0,0,0,1
"795","1962","Nevada","Alan Bible","100",65.3,"William B. Wright ","200",34.7,0,0,0,1
"796","1964","Nevada","Howard W. Cannon","100",50,"Paul Laxalt ","200",50,0,0,1,1
"797","1968","Nevada","Alan Bible","100",54.8,"Edward Fike ","200",45.2,0,0,0,1
"798","1970","Nevada","Howard Cannon","100",57.7,"William J. Raggio ","200",41.2,0,0,0,1
"799","1974","Nevada","Paul Laxalt","200",47,"Harry Reid ","100",46.6,0,0,1,1
"800","1976","Nevada","Howard Cannon","100",63,"David Towell ","200",31.4,0,0,0,1
